id,Completed,Last page,Start language,Date started,Date last action,Referring URL,consent,prolificID,age,gender,gender - comment,statements [1],statements [2],statements [3],statements [4],statements [5],statements [6],statements [7],statements [8],statements [9],statements [10],statements [11],statements [12],statements [13],statements [14],statements [15],statements [16],statements [17],statements [18],statements [19],statements [20],statements [21],statements [22],statements [23],statements [24],statements [25],statements [26],statements [27],statements [28],statements [29],statements [30],statements [31],statements [32],statements [33],statements [34],statements [35],statements [36],statements [37],statements [38],statements [39],statements [40],statements [41],statements [42],statements [43],statements [44],statements [45],statements [46],statements [47],statements [48],statements [49],statements [50],statements [51],statements [52],statements [53],statements [54],statements [55],statements [56],statements [57],statements [58],statements [59],statements [60],statements [61],statements [62],statements [63],statements [64],statements [65],statements [66],statements [67],statements [68],statements [69],statements [70],statements [71],statements [72],statements [73],statements [74],statements [75],statements [76],statements [77],statements [78],statements [79],statements [80],statements [81],statements [82],statements [83],statements [84],statements [85],statements [86],statements [87],statements [88],statements [89],statements [90],statements [91],statements [92],statements [93],statements [94],statements [95],statements [96],statements [97],statements [98],statements [99],statements [100],statements [101],statements [102],statements [103],statements [104],statements [105],statements [106],statements [107],statements [108],statements [109],statements [110],statements [111],statements [112],statements [113],statements [114],statements [115],statements [116],statements [117],statements [118],statements [119],statements [120],statements [121],statements [122],statements [123],statements [124],statements [125],statements [126],statements [127],statements [128],statements [c1],statements [c2],statements [c3],statements [c4],interviewtime,groupTime641,consentTime,groupTime631,prolificIDTime,ageTime,genderTime,groupTime621,statementsTime
101,06/01/17 17:40,3,en,06/01/17 17:28,06/01/17 17:40,https://www.prolific.ac/submissions/586fc5c1a7f6480001ed9dbb,Y,,53,m,N/A,1,1,3,1,1,1,3,5,3,3,5,4,1,3,1,5,3,3,1,3,3,1,4,3,1,1,1,5,1,3,1,4,3,1,4,1,5,5,3,1,1,1,5,1,4,3,1,1,3,1,4,5,4,3,1,5,3,4,3,4,1,2,1,3,1,4,5,4,1,4,1,3,3,4,3,2,1,3,4,3,4,3,1,1,3,3,5,1,1,1,1,3,5,3,5,3,1,3,3,4,4,4,5,1,5,1,5,1,1,5,1,3,4,3,1,4,3,1,5,1,4,2,5,5,1,3,1,1,4,4,4,2,679.24,33.54,,28.42,,,,617.28,
111,06/01/17 17:41,3,en,06/01/17 17:28,06/01/17 17:41,https://www.prolific.ac/submissions/586fc5c2ce4b280001728490,Y,,34,m,,1,1,3,1,1,1,4,5,1,4,2,4,2,2,1,5,1,1,1,4,3,1,1,1,1,1,4,5,2,1,1,5,1,1,3,1,4,5,1,1,1,1,5,1,3,5,2,1,4,1,2,4,5,5,1,5,1,4,2,4,1,2,1,5,5,5,5,3,1,4,1,2,4,5,1,4,1,5,5,4,4,4,5,1,2,2,5,1,1,1,1,4,5,1,5,2,1,1,1,4,1,1,5,1,5,1,4,1,1,5,1,5,1,5,1,4,5,1,5,1,5,2,5,5,1,2,1,1,4,4,2,2,748.71,8.91,,16.63,,,,723.17,
121,06/01/17 17:39,3,en,06/01/17 17:28,06/01/17 17:39,https://www.prolific.ac/submissions/586fc5c3c34844000174e7c8,Y,,56,m,"Comment? Thanks for the opportunity? Unsure why there is a comment box before the task is completed, but that's okay.",3,1,3,1,1,1,2,4,1,4,1,3,3,2,1,4,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,2,2,1,4,1,2,4,1,2,2,1,4,3,1,5,2,1,1,2,3,1,3,1,1,4,1,4,4,4,1,3,1,4,5,4,4,4,3,4,1,1,2,4,1,2,1,4,3,4,2,2,2,1,3,2,5,1,1,1,1,4,4,2,4,1,1,1,2,4,1,1,4,1,4,2,4,2,1,4,1,4,1,4,1,3,4,1,4,1,2,2,4,4,2,1,1,1,4,4,2,2,466.76,7.61,,51.34,,,,407.81,
131,,2,en,06/01/17 17:28,06/01/17 17:31,https://www.prolific.ac/submissions/586fc5c05c17910001ea4b76,Y,,24,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,9.72,,16.58,,,,,
141,06/01/17 18:18,3,en,06/01/17 17:58,06/01/17 18:18,https://www.prolific.ac/submissions/586fccc8e16d530001b34cf5,Y,,28,m,,1,1,4,1,1,2,3,5,1,5,4,2,4,2,1,5,4,3,5,3,1,1,1,1,2,1,4,5,3,2,1,4,1,1,4,2,5,5,4,2,1,5,5,1,1,5,2,1,1,3,3,2,5,5,2,5,3,5,2,5,2,3,1,5,5,5,5,4,2,5,1,1,1,5,5,3,4,5,5,5,3,3,5,2,2,2,3,2,1,1,2,3,5,3,5,2,1,4,1,4,5,3,5,1,5,5,5,2,2,5,1,3,5,5,1,5,5,2,5,2,5,2,5,5,2,1,3,1,4,4,2,2,1138.64,24.12,,21.92,,,,1092.6,
151,06/01/17 18:07,3,en,06/01/17 17:58,06/01/17 18:07,https://www.prolific.ac/submissions/586fcccbd22a5800014c557f,Y,,26,m,,1,1,1,1,3,1,3,4,1,5,1,1,3,1,1,5,1,1,1,4,3,1,1,1,1,1,5,5,1,1,1,4,1,1,4,1,1,2,2,1,1,1,5,1,1,1,1,1,2,1,2,5,5,5,1,5,1,4,4,5,1,1,1,5,5,2,5,4,1,5,1,1,4,5,1,1,1,5,5,5,4,4,4,1,1,1,4,1,1,1,1,4,4,1,5,1,1,1,1,5,1,1,5,1,5,1,5,1,2,5,1,5,1,5,1,4,5,1,5,1,5,1,5,5,1,1,1,1,4,4,2,2,493.88,18.69,,15.21,,,,459.98,
161,06/01/17 18:36,3,en,06/01/17 18:12,06/01/17 18:36,https://www.prolific.ac/submissions/586fcffeabc6690001ece966,Y,,36,m,,1,1,5,1,1,1,1,5,1,5,4,2,2,2,1,5,1,1,1,4,2,1,1,1,1,1,1,5,1,1,1,5,1,1,4,1,3,4,1,1,2,2,5,1,1,5,1,1,1,1,4,1,5,4,1,4,2,4,4,5,1,4,1,5,5,4,5,4,1,4,1,2,1,5,1,3,1,4,5,4,1,4,5,2,1,2,4,1,1,1,1,4,5,1,5,1,1,1,1,4,2,1,5,2,5,1,5,1,1,5,1,5,1,5,1,1,4,1,4,1,1,4,5,4,1,1,1,1,4,4,2,2,717.81,52.81,,11.22,,,,653.78,
171,06/01/17 18:24,3,en,06/01/17 18:12,06/01/17 18:24,https://www.prolific.ac/submissions/586fd002e9cb31000195ec35,Y,,42,f,,1,1,2,1,1,1,1,5,1,4,1,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,2,1,1,3,1,1,1,1,4,1,1,4,1,1,1,4,3,2,5,4,2,5,1,1,3,5,1,3,1,3,5,3,3,5,1,4,1,1,1,5,1,2,1,3,4,4,3,1,5,1,1,1,4,1,1,1,1,3,4,2,4,3,1,1,1,2,4,1,4,1,5,1,4,1,1,4,1,4,1,5,1,4,3,1,4,1,5,2,5,5,1,1,1,1,4,4,2,2,704.17,47.92,,45.84,,,,610.41,
181,06/01/17 18:20,3,en,06/01/17 18:12,06/01/17 18:20,https://www.prolific.ac/submissions/586fd003d22a5800014c5581,Y,,32,f,,1,1,4,1,1,1,1,4,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,4,1,1,5,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,5,5,4,5,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,1,1,4,1,5,1,1,1,1,5,4,1,5,1,4,1,1,1,1,5,1,4,1,1,1,4,4,1,5,1,5,1,4,1,1,1,1,1,4,4,2,2,496.92,11.21,,19.02,,,,466.69,
191,06/01/17 18:25,3,en,06/01/17 18:12,06/01/17 18:25,https://www.prolific.ac/submissions/586fd0047e187d0001cb36ec,Y,,61,f,,1,2,3,1,1,3,3,5,1,4,2,2,1,3,2,5,3,1,3,3,1,1,2,1,1,1,2,4,2,1,1,3,1,1,3,1,2,4,2,1,2,2,5,1,3,5,2,1,1,2,3,4,5,4,1,4,3,4,3,3,1,2,1,3,5,3,5,5,3,4,1,1,1,4,1,3,2,4,4,4,3,5,3,2,1,3,5,1,2,1,1,3,1,3,5,2,3,3,1,4,3,2,5,1,5,1,4,1,2,5,2,4,3,5,2,5,5,1,5,1,5,2,5,4,1,3,3,1,4,4,2,2,780.98,45.15,,34.73,,,,701.1,
201,,2,en,06/01/17 18:12,06/01/17 18:15,https://www.prolific.ac/submissions/586fd005d6df700001874650,Y,,27,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.26,70.4,,72.86,,,,,
211,06/01/17 18:21,3,en,06/01/17 18:12,06/01/17 18:21,https://www.prolific.ac/submissions/586fd006127d7700018b1594,Y,,21,f,,2,2,2,2,2,2,2,4,1,5,2,2,2,2,2,4,2,1,2,2,2,1,1,1,2,1,2,4,1,1,1,5,2,2,2,2,2,5,3,2,2,2,5,2,2,5,2,1,3,3,3,4,5,4,2,4,2,4,2,5,4,4,1,4,4,2,4,4,1,2,1,2,2,5,1,4,2,4,4,4,4,4,4,1,2,3,4,1,1,2,2,2,4,3,5,2,2,2,2,4,2,2,4,2,5,1,4,2,2,4,2,4,2,5,1,3,4,1,5,1,4,2,4,4,4,1,2,2,4,4,2,2,521.58,18.48,,15.19,,,,487.91,
221,06/01/17 18:18,3,en,06/01/17 18:12,06/01/17 18:18,https://www.prolific.ac/submissions/586fd0087fbbcd00013978c2,Y,,33,m,,2,1,1,1,1,4,1,5,1,5,1,1,3,1,1,5,4,1,3,1,1,1,2,1,1,1,1,5,1,1,1,4,1,1,2,1,4,4,1,1,1,1,4,4,1,1,1,1,1,1,1,1,5,5,1,1,1,1,4,4,1,2,1,5,5,1,5,4,1,4,1,1,1,5,1,1,1,2,5,2,1,4,4,1,1,5,4,3,1,1,1,1,2,2,5,1,1,1,1,5,1,1,5,1,5,1,1,1,1,5,1,3,1,5,1,1,5,1,5,1,5,1,5,5,1,1,1,1,4,4,2,2,334.59,4.93,,8.79,,,,320.87,
231,06/01/17 18:22,3,en,06/01/17 18:12,06/01/17 18:22,https://www.prolific.ac/submissions/586fd008ec49b500015904f6,Y,,30,m,,2,1,5,1,1,2,1,5,1,5,1,1,2,2,2,5,4,1,3,2,2,1,1,1,1,1,2,5,2,2,1,3,1,2,3,1,1,4,3,1,1,2,5,2,4,4,1,1,3,2,2,4,4,5,3,5,2,3,1,5,1,2,1,5,5,5,5,1,1,1,1,4,1,4,1,2,1,5,5,4,4,2,4,1,2,2,4,1,2,1,1,2,4,1,5,1,1,2,2,5,5,3,5,1,4,1,3,1,1,4,1,5,4,4,1,4,5,4,4,1,5,4,5,4,1,1,1,1,4,4,2,2,596.92,14.82,,11.71,,,,570.39,
241,06/01/17 18:27,3,en,06/01/17 18:12,06/01/17 18:27,https://www.prolific.ac/submissions/586fd00758ca4c00018ce2fc,Y,,54,m,,1,2,1,1,1,1,3,4,1,5,1,4,1,2,1,5,4,1,2,1,2,1,1,1,1,1,2,4,2,1,1,4,1,1,2,1,2,4,1,2,1,1,4,3,1,4,2,1,1,1,4,4,4,5,2,4,1,4,4,2,2,1,1,4,4,4,4,2,2,4,1,1,1,5,1,4,1,4,4,4,2,4,4,1,1,1,4,1,1,1,1,2,4,2,5,2,1,1,1,4,2,1,5,1,5,1,4,1,1,4,1,4,2,4,1,4,4,1,5,1,5,3,4,5,1,2,1,1,4,4,2,2,729.36,10.16,,21.97,,,,697.23,
251,06/01/17 18:21,3,en,06/01/17 18:12,06/01/17 18:21,https://www.prolific.ac/submissions/586fd0064254cb0001c156a6,Y,,33,m,,1,1,2,1,1,1,2,5,1,4,1,1,1,1,2,5,4,1,1,1,1,1,1,1,2,1,1,5,1,1,1,4,1,1,2,1,1,4,1,1,1,1,4,5,4,4,2,1,3,1,1,1,5,4,1,5,1,4,1,4,1,1,1,4,4,2,4,4,2,1,1,1,4,4,1,1,1,4,4,1,1,2,1,1,1,2,4,1,1,1,1,1,4,4,5,1,1,1,2,4,4,1,5,1,5,1,4,2,1,4,1,4,4,4,1,2,3,1,4,2,5,1,5,5,3,1,1,1,4,4,2,2,542.71,48.54,,20,,,,474.17,
261,,,en,06/01/17 18:12,06/01/17 18:12,https://www.prolific.ac/submissions/586fd0092bd3c900018599d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
271,06/01/17 18:20,3,en,06/01/17 18:12,06/01/17 18:20,https://www.prolific.ac/submissions/586fd00b6cb8dd0001a29af1,Y,,20,f,,3,1,2,1,2,1,4,5,2,4,2,4,4,2,1,5,4,1,1,1,2,1,1,1,2,1,2,4,2,2,1,4,2,1,4,1,1,2,2,1,1,2,4,4,1,4,2,1,1,2,4,4,5,1,2,4,1,4,3,4,2,2,1,4,4,4,4,4,1,4,1,1,1,5,1,4,1,2,4,2,3,4,4,2,1,2,5,1,1,1,1,4,4,2,5,1,2,2,1,4,1,2,4,2,5,2,4,1,1,5,2,4,4,4,1,5,5,2,5,2,5,4,4,4,1,4,1,1,4,4,2,2,480.37,16.68,,9.22,,,,454.47,
281,06/01/17 18:26,3,en,06/01/17 18:12,06/01/17 18:26,https://www.prolific.ac/submissions/586fd00bc44dd30001cd37d0,Y,,54,f,,1,1,3,1,1,1,3,3,1,4,2,2,4,1,1,4,3,1,2,4,3,1,1,3,3,1,3,4,1,1,1,5,1,1,4,3,3,5,2,1,3,1,4,3,1,4,1,1,1,1,2,3,5,4,2,3,1,3,1,3,3,3,1,4,4,4,4,4,2,4,1,3,3,4,1,3,1,4,4,3,4,4,4,1,1,3,4,1,1,2,1,4,4,3,3,1,2,1,3,4,1,1,4,1,4,1,3,3,2,5,1,4,1,4,1,2,4,1,5,1,4,3,4,4,3,1,1,2,4,4,2,2,842.33,31.1,,11.02,,,,800.21,
291,06/01/17 18:23,3,en,06/01/17 18:12,06/01/17 18:23,https://www.prolific.ac/submissions/586fd00ae9cb31000195ec36,Y,,21,f,have a good day,1,2,4,1,1,1,4,4,1,5,2,1,3,1,1,5,4,2,3,2,4,1,1,1,3,1,3,4,2,1,1,5,2,1,1,1,1,5,1,1,1,1,1,3,3,5,2,1,1,3,3,4,5,4,1,5,1,5,3,5,2,3,3,5,5,1,5,4,3,5,1,1,2,4,4,3,1,5,5,4,4,4,5,1,2,2,5,3,1,1,1,5,3,3,5,3,1,2,1,5,3,1,5,1,5,1,1,3,2,4,1,5,1,5,1,3,5,1,4,1,5,3,3,4,1,1,1,1,4,4,2,2,617.47,9.55,,14.87,,,,593.05,
301,06/01/17 18:25,3,en,06/01/17 18:12,06/01/17 18:25,https://www.prolific.ac/submissions/586fd009ac950900013de41f,Y,,32,m,,1,1,5,1,2,1,3,4,1,5,3,2,3,2,3,5,1,1,3,2,1,1,1,1,1,1,4,5,1,1,1,5,1,1,4,1,2,3,1,3,1,1,5,1,1,3,1,1,1,1,3,4,5,2,3,5,1,4,3,5,1,2,1,4,5,4,5,4,1,3,1,1,4,5,1,4,1,4,2,3,3,4,1,1,1,2,5,1,1,3,1,4,5,2,5,1,2,2,2,4,4,2,5,3,5,1,4,1,1,5,1,4,1,4,1,3,5,1,4,1,5,3,5,5,1,1,1,1,4,4,2,2,749.5,34.27,,25.99,,,,689.24,
311,,,en,06/01/17 18:12,06/01/17 18:12,https://www.prolific.ac/submissions/586fd00cde1cea0001f7a33c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
321,06/01/17 18:23,3,en,06/01/17 18:12,06/01/17 18:23,https://www.prolific.ac/submissions/586fd0092bd3c900018599d3,Y,,44,m,,1,2,3,1,1,1,3,4,1,5,3,2,4,1,1,5,4,2,2,2,3,1,1,1,2,1,2,4,3,1,1,5,2,1,4,2,3,4,1,1,1,2,5,3,4,4,3,1,4,1,2,1,4,4,2,4,1,4,3,5,1,1,3,5,5,4,4,4,1,4,1,1,1,5,1,3,1,4,4,4,4,4,4,1,2,4,4,1,2,1,1,3,4,2,5,1,2,1,1,5,4,2,5,2,4,1,2,1,1,5,1,4,4,2,1,3,5,1,5,1,5,4,5,4,2,2,1,1,4,4,2,2,620.95,23.13,,17.86,,,,579.96,
331,06/01/17 18:18,3,en,06/01/17 18:12,06/01/17 18:18,https://www.prolific.ac/submissions/586fd00d73ee610001418797,Y,,26,f,,1,1,4,1,1,1,3,4,1,4,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,5,1,1,1,1,3,4,4,1,1,1,3,4,3,4,4,1,3,1,1,1,5,1,1,1,1,5,1,1,4,1,1,1,1,4,1,1,1,1,4,4,1,5,1,1,1,1,5,1,1,5,1,4,1,4,1,1,5,1,5,1,4,1,3,4,1,4,1,5,2,5,4,1,1,1,1,4,4,2,2,363.28,7.13,,18.62,,,,337.53,
341,,1,en,06/01/17 18:12,06/01/17 18:13,https://www.prolific.ac/submissions/586fd00d859653000107a11d,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.58,57.58,,,,,,,
351,06/01/17 18:21,3,en,06/01/17 18:12,06/01/17 18:21,https://www.prolific.ac/submissions/586fd00ea763c900011d9884,Y,,54,f,,2,3,4,2,1,2,2,4,1,5,3,2,3,1,2,5,3,3,3,3,2,1,2,1,3,2,2,3,3,2,2,3,3,2,2,2,3,4,3,3,3,3,4,3,2,4,2,4,2,3,2,4,4,4,2,4,1,4,2,4,3,2,1,5,4,4,4,4,2,3,2,4,3,3,1,2,2,2,3,2,3,4,2,2,2,3,3,3,2,3,2,2,4,3,4,2,1,4,2,3,4,2,5,2,3,2,4,2,1,4,1,3,3,4,3,1,3,2,4,3,4,2,5,4,1,3,1,2,4,4,2,2,531.61,10.75,,19.9,,,,500.96,
361,06/01/17 18:24,3,en,06/01/17 18:12,06/01/17 18:24,https://www.prolific.ac/submissions/586fd010c44dd30001cd37d1,Y,,22,m,,1,1,2,1,1,1,4,5,1,5,2,1,4,1,1,5,1,1,2,4,1,1,1,1,3,2,2,4,4,4,1,5,4,4,2,1,5,1,3,4,3,5,1,5,4,5,4,1,1,4,4,3,5,4,1,4,4,5,2,2,1,1,2,4,3,2,5,4,3,3,1,1,1,5,1,4,1,1,4,4,2,1,1,1,1,4,4,1,1,4,1,3,1,4,4,2,1,5,1,4,5,1,5,1,5,3,5,3,1,5,1,5,2,1,4,4,4,1,5,2,3,4,5,3,1,2,1,1,4,4,2,2,682.25,9.77,,25.18,,,,647.3,
371,06/01/17 18:21,3,en,06/01/17 18:12,06/01/17 18:21,https://www.prolific.ac/submissions/586fd0112bd3c900018599d4,Y,,25,m,,2,1,2,2,3,2,4,4,1,4,2,3,2,3,1,4,4,2,2,3,4,2,2,2,2,1,3,4,3,2,2,4,1,2,2,3,3,2,2,2,1,2,2,3,3,4,3,3,3,3,4,4,4,4,3,4,2,4,3,3,3,2,3,4,4,4,4,3,3,2,2,3,3,3,1,2,1,4,4,2,4,2,4,2,2,2,4,3,1,1,2,3,3,2,5,2,2,3,2,4,1,1,5,2,4,2,2,2,2,5,2,5,3,3,2,3,4,2,4,2,5,2,4,4,2,2,2,1,4,4,2,2,504.12,17.71,,13.88,,,,472.53,
