vorname,anzahl,geschlecht
Arbresha,1,w
Archishman,1,m
Arden,1,m
Ardian,1,m
Ardren,1,m
Areeba,1,w
Arham-Ahmed,1,m
Ariel,1,m
Arijan,1,m
Aristotelis,1,m
Arjan,1,m
Arjeh,1,m
Arjon,1,m
Armangul,1,m
Armani,1,w
Armanj,1,m
Armgard,1,w
Armir,1,m
Arnisa,1,w
Arno,1,m
Aron,1,m
Arsam,1,m
Arsenije,1,m
Artemy,1,m
Arti,1,m
Artina,1,w
Arton,1,m
Arun,1,m
Arunika,1,w
Arved,1,m
Arvin,1,m
Arwa,1,w
Arya,1,m
Aryem,1,w
Asaf,1,m
Asaph,1,m
Asara,1,w
Aschmat,1,m
Asel,1,w
Asenat,1,w
Ashab,1,m
Ashanti-Marija,1,w
Ashley-Sue,1,w
Asiatou,1,w
Asil,1,m
Asim,1,m
Asimena,1,w
Asli,1,w
Asma,1,w
Asmen,1,m
Asmon,1,m
Asterios,1,m
Asude,1,w
Asya-Sahara,1,w
Ata,1,m
Atahan,1,m
Atakan,1,m
Atanas,1,m
Athanasia,1,w
Atilla,1,m
Atiye,1,w
Attila,1,m
Aulon,1,m
Aulona,1,w
Aura,1,w
Aurel-Elias,1,m
Aurelian,1,m
Aurelien,1,w
Aurelius,1,m
Auron,1,m
Ava-Lotta,1,w
Avash,1,m
Avelina,1,w
Avelino,1,m
Avesta,1,w
Avidan,1,m
Aviel,1,m
Aviv,1,w
Avyas,1,m
Axel,1,m
Ayame,1,w
Ayanda,1,m
Ayaz,1,m
Aybüke,1,w
Aycan,1,m
Aycan,1,w
Aycin,1,w
Ayele,1,w
Ayendys,1,m
Aylin,1,m
Aylina,1,w
Ayoan,1,m
Ayub,1,m
Ayumi,1,w
Azaarah,1,w
Azan,1,m
Azize,1,w
Badal,1,m
Bahij,1,m
Bailassane,1,w
Bakican,1,m
Bako,1,m
Balian,1,m
Balqis,1,w
Balthazar,1,m
Banu,1,w
Banyon,1,m
Bao,1,m
Baran,1,m
Barbara,1,w
Barnabas,1,m
Bartolomeo,1,m
Barzan,1,m
Baskal,1,w
Batu,1,m
Batuhan,1,w
Batukaan,1,m
Batur,1,m
Bayan,1,w
Beatrice,1,w
Beatrix,1,w
Beatriz,1,w
Bedirhan,1,m
Begüm,1,w
Behar,1,m
Beheschta,1,w
Behtar,1,w
Belesan,1,w
Belina,1,w
Belinda,1,w
Bella-Selina,1,w
Belma,1,w
Belmin,1,m
Benan,1,m
Beneditk,1,m
Benet,1,m
Benicio,1,m
Benita,1,w
Bennet,1,m
Bennett,1,m
Bera,1,m
Beren,1,w
Berenice,1,w
Berenika,1,w
Berensu,1,w
Berhat,1,m
Beril,1,w
Berin,1,m
Beriz,1,m
Berk,1,m
Berkan,1,m
Berkan-Nur,1,m
Berke,1,m
Berkin,1,m
Berra,1,w
Berrak,1,w
Berre,1,w
Bertan,1,m
Bertha,1,w
Berton,1,m
Besan,1,m
Bettina,1,w
Beyazit,1,m
Bhagat,1,m
Bhargava,1,m
Bianka,1,w
Bibi,1,w
Bilal-Eren,1,m
Billaal,1,m
Billie,1,w
Birkan,1,m
Birsennur,1,w
Bissan,1,w
Bjane,1,m
Bjarne,1,m
Blake,1,m
Bledion,1,m
Blend,1,m
Bleona,1,w
Blera,1,w
Blerta,1,w
Blerti,1,m
Blina,1,w
Bogdana,1,w
Bogoljub,1,m
Bohan,1,m
Bojan,1,m
Bonifaz,1,m
Bora,1,w
Boran,1,m
Bori,1,m
Bosse,1,m
Brandon,1,m
Brayan,1,m
Breshna,1,w
Britta,1,w
Bryan,1,m
Brydin,1,m
Burak,1,m
Buse,1,w
Cäcilia,1,w
Cäcilie,1,w
Caecilia,1,w
Cafer,1,m
Caija,1,w
Caio,1,m
Calin-Gabriel,1,m
Calvin,1,m
Camden,1,m
Camille,1,m
Camille,1,w
Cansin,1,m
Carl-Luis,1,m
Carla-Ioana,1,w
Carla-Paulin,1,w
Carlie,1,w
Carline,1,w
Carlsson,1,m
Carys,1,w
Casey,1,w
Cassia,1,w
Cassian,1,m
Catalina,1,w
Catherin,1,w
Catherina,1,w
Catleya,1,w
Cayetano,1,m
Cedrik,1,m
Celeste,1,w
Celestino,1,m
Cemal,1,m
Cemre,1,w
Cengizhan,1,m
Cenk,1,m
Cenk-Emin,1,m
Ceyda-Nur,1,w
Ceyla,1,w
Ceylin,1,w
Chaima,1,w
Chana,1,w
Chandani-Eleni,1,w
Chanel,1,w
Channel,1,w
Charalampos,1,m
Charlene,1,w
Charls,1,m
Charly,1,m
Chayenne,1,w
Chengkai,1,m
Chenkai,1,m
Chiamanka,1,w
Chimdimma,1,w
Ching-Wun,1,w
Chirag,1,m
Christan,1,m
Christiane,1,w
Ciara,1,w
Cihangir,1,m
Cinzia,1,w
Ciya,1,m
Claire,1,w
Claudius,1,m
Clementine,1,w
Cloe,1,w
Conner,1,m
Connor,1,m
Conrad,1,m
Constanze,1,w
Cora,1,w
Coralie,1,w
Corentin,1,m
Cosimo,1,m
Cosmo,1,m
Curt,1,m
Cyara,1,w
Cyrus,1,m
D'Leh,1,m
Daan,1,m
Dalila,1,w
Dalina,1,w
Dalyan,1,m
Damir,1,m
Damira,1,w
Damjan,1,m
Dan,1,m
Danae,1,w
Danah,1,w
Danai,1,w
Dane,1,m
Daniele,1,m
Danijel,1,m
Danila,1,w
Danis,1,m
Danniell,1,m
Danny,1,m
Dante,1,m
Danye,1,w
Danylo,1,m
Daouda,1,m
Dardan,1,m
Darijan,1,m
Darika,1,w
Darin,1,m
Darin,1,w
Darina,1,w
Dariush,1,m
Darja,1,w
Darko,1,m
Darlene,1,w
Darnell,1,m
Darwin,1,m
Daryo,1,m
Dashin,1,m
Dastan,1,m
Daud,1,m
David-Mikel,1,m
Davina,1,w
Davit,1,m
Dayana,1,w
Dean,1,m
Deborah,1,w
Deeshna,1,w
Dejan,1,m
Deki,1,m
Delcan,1,m
Delilah,1,w
Delin,1,w
Delphina,1,w
Delroy,1,m
Delshad,1,m
Delwian,1,m
Demetra,1,w
Demian,1,m
Deni,1,m
Denis-Narcis,1,m
Denise,1,w
Deniz,1,w
Denni,1,m
Denny,1,m
Dervishan,1,m
Derya,1,w
Desmond,1,m
Destinygrace,1,w
Devan,1,m
Devine,1,w
Devran,1,m
Dewin,1,m
Deyan,1,m
Deyven,1,m
Deyyan,1,m
Dhiya,1,w
Diamond,1,w
Dian,1,m
Diara,1,w
Diart,1,m
Diaz,1,m
Dida,1,w
Dijona,1,w
Dilan,1,w
Dilay,1,w
Dildar,1,m
Dilia,1,w
Diljaan,1,m
Dilyra,1,w
Dimah,1,w
Diman,1,w
Dimitra,1,w
Dina,1,w
Dionis,1,m
Diuan,1,m
Diva,1,w
Divine,1,w
Diwan,1,m
Diyan,1,m
Diyar,1,m
Djabrail,1,m
Djellora,1,w
Dlhat,1,m
Dlin,1,w
Dlora,1,w
Dolores,1,w
Donat,1,m
Dondivin,1,m
Donila,1,w
Donjeta,1,w
Doreen,1,w
Dorian,1,w
Dorina,1,w
Doris,1,w
Dorona,1,w
Dorotea,1,w
Dorothea,1,w
Doruk,1,m
Dowan,1,m
Dragan,1,m
Drenusha,1,w
Drini,1,m
Duha,1,w
Durak,1,m
Duy,1,m
Dylan,1,m
Dzenan,1,m
Eadie,1,w
Ece,1,w
Ecenur,1,w
Ecra,1,w
Edda,1,w
Eddin,1,m
Eden,1,m
Edgar,1,m
Edim,1,m
Edin,1,m
Edion,1,m
Edita,1,w
Edon,1,m
Edouardos,1,m
Eduardo,1,m
Edvin,1,m
Edward,1,m
Edwin,1,m
Efeberk,1,m
Efekan,1,m
Eflal,1,w
Eflin,1,w
Efthimia,1,w
Egmont,1,m
Egzon,1,m
Eiaad,1,m
Eileen,1,w
Einav,1,w
Eitan,1,m
Ejona,1,w
Ekaterina,1,w
Eklass,1,w
Ela-Devin,1,w
Ela-Nur,1,w
Elaia,1,w
Elanaz,1,w
Eldian,1,m
Eldin,1,m
Eldina,1,w
Eldion,1,m
Elea,1,w
Eleanor,1,w
Eleazar-Daniel,1,m
Eleftheria,1,w
Elena-Sophie,1,w
Elenora,1,w
Elhama,1,w
Elia-Isaak,1,m
Eliano,1,m
Elicia,1,w
Elida,1,w
Elijana,1,w
Eliot,1,m
Elis,1,w
Elisa-Marie,1,w
Elisabeta,1,w
Elisabeth-Veronika,1,w
Elisaveta,1,w
Eliso,1,w
Elizan,1,w
Eljesa,1,w
Ellaha,1,w
Ellin,1,w
Ellis,1,m
Elliz,1,w
Elmira,1,w
Elodia,1,w
Elodie,1,w
Elona,1,w
Elpida,1,w
Elson,1,m
Elton,1,m
Eluisa,1,w
Eluna,1,w
Elva,1,w
Elvanur,1,w
Elvin,1,m
Elvina,1,w
Elvisa,1,w
Elyab,1,m
Elyesa,1,m
Elyzabet,1,w
Elzem,1,w
Emanuela,1,w
Emelie-Sophie,1,w
Emeni,1,w
Emile,1,m
Emilean,1,m
Emili,1,w
Emilia-Aurora,1,w
Emilian-Ethan,1,m
Emiliano,1,m
Emiljan,1,m
Emine,1,w
Emma-Li,1,w
Emma-Maria,1,w
Emma-Nicole,1,w
Emma-Sophie,1,w
Emmelie-Sofie,1,w
Emmi,1,w
Emmily,1,w
Emmir,1,m
Emmitt,1,m
Emmy-Belle,1,w
Enbiya,1,m
Endi,1,m
Enesa,1,w
Engertha,1,w
Engjell,1,m
Enian,1,m
Enis,1,m
Enise,1,w
Eniz,1,m
Enja,1,w
Eno,1,w
Enoobong,1,w
Ensar,1,m
Ephraim-Baptiste,1,m
Erdinc,1,m
Erdonita,1,w
Erfan,1,m
Erhan,1,m
Erin,1,m
Erina,1,w
Erjon,1,m
Erna,1,w
Ernesto,1,m
Erona,1,w
Ervagül,1,w
Erwin,1,m
Eryk,1,m
Erza,1,w
Erzana,1,w
Eslem,1,w
Esmer,1,m
Esmera,1,w
Estella,1,w
Esther,1,w
Eszter,1,w
Ethemcan,1,m
Etienne,1,m
Euan,1,m
Eva-Lotta,1,w
Eva-Marie,1,w
Evaggelos,1,m
Eve,1,w
Eveline,1,w
Even,1,m
Evi,1,w
Evren,1,m
Ewa,1,w
Ewlin,1,w
Eya,1,w
Eyal,1,m
Eyck-Lennard,1,m
Eysan,1,w
Ezekiel-Joel,1,m
Ezel,1,m
Ezella,1,w
Ezgi,1,w
Faith,1,m
Faiza,1,w
Falaq,1,w
Fanial,1,m
Fanni,1,w
Faramarz,1,m
Farhan,1,m
Farheen,1,w
Faris,1,m
Farkhunda,1,w
Farouk,1,m
Faryad,1,m
Fatdon,1,m
Fatema,1,w
Fatih,1,m
Fatimatüz,1,w
Fatoumata,1,w
Fawaz,1,m
Fayek,1,m
Fayrouz,1,w
Fedy,1,m
Fee,1,w
Fei,1,m
Felicie,1,w
Felicita,1,w
Felicity,1,w
Feline,1,w
Felisitas,1,w
Femistoklis,1,m
Fenja,1,w
Fenna,1,w
Ferdinad,1,m
Fernanda,1,w
Fero,1,m
Ferry,1,m
Fidan,1,m
Fil,1,m
Filippos-Konstantinos,1,m
Fillis,1,w
Filomena,1,w
Finia,1,w
Finian,1,m
Finjas,1,m
Finlay,1,m
Finley,1,m
Finn-Luca,1,m
Finnian,1,m
Finrod,1,m
Finya,1,w
Fiodor,1,m
Fiona-Sophie,1,w
Fionn,1,m
Flandra,1,w
Flavia-Clara,1,w
Flavio,1,m
Fleur,1,w
Florens,1,m
Flori,1,m
Florijana,1,w
Florina,1,w
Floyd,1,m
Fran,1,m
Frances,1,w
Francisco,1,m
Franco,1,m
Franke,1,m
Frankie,1,w
Franz-Ferdinand,1,m
Freda,1,w
Frederick,1,w
Frederika,1,w
Frederike,1,w
Freschta,1,w
Freyja,1,w
Fridolin,1,m
Friede,1,w
Gabor,1,m
Gabriell,1,m
Gabriella,1,w
Gaell,1,w
Gaetano,1,m
Gaia,1,w
Galin,1,m
Galina,1,w
Gamila,1,w
Garafin,1,w
Garbriel,1,m
Gaspar,1,m
Gaspard,1,m
Genevie,1,w
Gennaro,1,m
Gentian,1,m
Gentiana,1,w
Georges,1,m
Georgi,1,m
Georgia-Maria,1,w
Gergana,1,w
Ghael,1,m
Ghafoor,1,m
Ghania,1,w
Ghazal,1,w
Gia-Emilia,1,w
Giacomo,1,m
Gianluca,1,m
Gilad,1,m
Gillian,1,w
Gina,1,w
Gino,1,m
Gioia,1,w
Gisella,1,w
Giuliano,1,m
Giulio,1,m
Giuseppe,1,m
Gladys,1,w
Gleb,1,m
Glen,1,m
Glenn,1,m
Glorija,1,w
Golo,1,m
Gönül,1,w
Goufrann,1,m
Gowand,1,m
Gözde,1,w
Gracelyn,1,w
Grady,1,m
Graham,1,m
Graziella,1,w
Gresa,1,w
Grigoris,1,m
Grisela,1,w
Guillermo,1,m
Gülcan,1,w
Guljana,1,w
Gülseli,1,w
Günes,1,m
Günes,1,w
Güney,1,m
Gunreet,1,w
Gurishar,1,w
Gursev,1,w
Gustaf,1,m
Guutuu,1,m
Gwendoline,1,w
Gwendolyn,1,w
Haajira,1,w
Hadi,1,m
Hadis,1,m
Hadiya,1,w
Hadja,1,w
Hadleigh,1,w
Hadriel,1,m
Hajer,1,w
Hajrie,1,w
Hajrudin,1,m
Hakan,1,m
Hakim,1,m
Hakki,1,m
Halan,1,m
Halil,1,m
Halime,1,w
Hamed,1,m
Hamidou,1,m
Hamnah,1,w
Hamta,1,w
Hamze,1,m
Hane,1,w
Hanna-Maria,1,w
Hannah-Marleen,1,w
Haowen,1,m
Harald,1,m
Hardi,1,m
Hareem,1,w
Hareja,1,w
Harir,1,w
Harira,1,w
Haris,1,m
Haru,1,w
Haruhito,1,m
Harun,1,m
Hasna,1,w
Hawwa-Samar,1,w
Hayal,1,w
Hayat,1,w
Hayden,1,w
Hayley,1,w
Haylie,1,w
Hazuki,1,w
Heba,1,w
Hector,1,m
Hedwig,1,w
Heinrich,1,m
Helan,1,w
Helena-Sophie,1,w
Helma,1,w
Helmut,1,m
Hemen,1,w
Hendrik,1,m
Henria,1,w
Henrietta,1,w
Henrike,1,w
Hermela,1,w
Herry,1,m
Heuar,1,m
Heval,1,m
Hewlin,1,w
Hilal,1,w
Hilli,1,w
Hind,1,w
Hing,1,m
Hiranur,1,w
Hiron,1,m
Hiyansa,1,w
Hoang,1,m
Hodan,1,w
Honar,1,m
Honoka,1,w
Honya,1,w
Hooria,1,w
Hope,1,w
Hossein,1,m
Hrach,1,m
Huang,1,w
Huda,1,w
Hue,1,w
Hülya,1,w
Humejda,1,w
Husain,1,m
Hüseyin,1,m
Hussin,1,m
Ian,1,m
Ibtisam,1,w
Ibukunoluwa,1,w
Iciar,1,w
Ida-Katharina,1,w
Ida-Maria,1,w
Idalina,1,w
Idil,1,w
Idris,1,m
Idriss,1,m
Ifnaan,1,m
Ifunanya,1,w
Ihuoma,1,w
Iknoor,1,w
Ikra,1,w
Ikram,1,w
Iksha,1,w
Ilai,1,m
Ilan,1,m
Ilargi,1,w
Ilay,1,m
Ilda,1,w
Ilenia,1,w
Ilin,1,w
Ilinca,1,w
Ilona,1,w
Ilvi,1,w
Ilvie,1,w
Ilvy,1,w
Ilyaz,1,m
Ilyes,1,m
Imaan,1,w
Iman,1,m
Imanuel,1,m
Imelda,1,w
Imen,1,w
Imke,1,w
Immaculate,1,w
Immana,1,w
Immanuel,1,m
Imran,1,m
Inaaya,1,w
Inal,1,m
Inayat,1,w
Indira,1,w
Inesh,1,m
Iness,1,w
Inga,1,w
Ingrid,1,w
Inken,1,w
Io,1,w
Ioana,1,w
Ioana-Saray,1,w
Ioanna,1,w
Ioannis,1,m
Iohan,1,m
Iolanda,1,w
Ion,1,m
Iona,1,w
Ippokratis,1,m
Ira,1,w
Irfan,1,m
Irini,1,w
Irmak,1,w
Iron,1,m
Isa,1,m
Isa,1,w
Isabela,1,w
Isabell-Mia,1,w
Isadora,1,w
Isaia,1,m
Isaiah,1,m
Isana,1,w
Isha,1,w
Ishaq,1,m
Ishmael,1,m
Isis,1,w
Ismael,1,m
Israa,1,w
Istvan,1,m
Itisaam,1,w
Itxaso,1,w
Ivanna,1,w
Ivano,1,w
Ivar,1,m
Ive,1,m
Iven,1,m
Ivona,1,w
Iyad,1,m
Iyanda,1,w
Iyas,1,m
Iyed,1,m
Izan,1,m
Izem,1,w
Izma,1,w
Jacqueline,1,w
Jacques,1,m
Jada,1,w
Jade,1,w
Jaden,1,m
Jafet,1,m
Jago,1,m
Jakov,1,m
Jamie-Michel,1,m
Jamila,1,w
Jamine,1,m
Jan-David,1,m
Jan-Eric,1,m
Janaina,1,w
Jane,1,w
Janek,1,m
Janicije,1,m
Janik,1,m
Janina,1,w
Jann,1,m
Jannick,1,m
Jannine,1,w
Janosch,1,m
Jans,1,m
Janset,1,w
Janya,1,w
Jaoar,1,m
Jara,1,w
Jarno,1,m
Jaro,1,m
Jasephine,1,w
Jaskirat,1,m
Jasmine,1,w
Jasnit,1,w
Jattjan,1,m
Jauhara,1,w
Jaycob,1,m
Jayden-Sadik,1,m
Jayson,1,m
Jean-Marie,1,w
Jeannine,1,w
Jebrail,1,m
Jed,1,m
Jedediah,1,m
Jeffrey,1,m
Jelena,1,w
Jeline,1,w
Jelka,1,w
Jelle,1,m
Jemimah,1,w
Jenell,1,w
Jenna,1,w
Jens,1,m
Jeremia,1,m
Jeremiah,1,m
Jerome,1,m
Jerome-Tyler,1,m
Jesco,1,m
Jessika,1,w
Jeton,1,m
Ji,1,w
Jiale,1,m
Jil,1,w
Jina,1,w
Jinxiao,1,m
Joan,1,m
Joanne,1,w
Jobst,1,m
Joe,1,m
Joell,1,m
Johana,1,w
John-Julian,1,m
Johnny,1,m
Johny,1,m
Jolie-Rose,1,w
Joliene,1,w
Jolina,1,w
Joline,1,w
Jona,1,w
Jonne,1,m
Jordi,1,m
Jorge,1,m
Jorina,1,w
Jos,1,m
Josefa,1,w
Josepha,1,w
Josephine-Leonor,1,w
Josua,1,m
Joud,1,w
Joumana,1,w
Jovan,1,m
Jovana,1,w
Joy-Dilana,1,w
Joyce,1,w
Juana,1,w
Juana-Sophie,1,w
Jul,1,m
Julen,1,m
Jules-Frederic,1,m
Julia-Aurelia,1,w
Juliani,1,w
Julianna,1,w
Juliette,1,w
Julija,1,w
Julijana,1,w
Julika,1,w
Julio,1,m
Jumana,1,w
June,1,w
Juno,1,w
Juraj,1,m
Jusef,1,m
Jusra,1,w
Just,1,m
Justin,1,m
Justine,1,w
Jyodhi,1,w
Kademcan,1,m
Kadina,1,w
Kaid,1,m
Kaisa,1,w
Kajetan,1,m
Kalin,1,m
Kaltrina,1,w
Kamal,1,m
Kamilla,1,w
Kamran,1,m
Kamsobechukwu,1,m
Kani,1,w
Kannafa,1,w
Kanoa,1,m
Kaona,1,w
Karan,1,m
Kardelen,1,w
Karima,1,w
Karlo,1,m
Karlos,1,m
Karoline,1,w
Karrar,1,m
Kassandra,1,w
Kassim,1,m
Kassira,1,w
Katalea,1,w
Kate,1,w
Katerina,1,w
Kathreen,1,w
Kathrin,1,w
Katibin,1,w
Katie,1,w
Katre,1,w
Kattaleya,1,w
Kausar,1,w
Kaussar,1,m
Kaya,1,w
Kaylee,1,w
Kayra,1,m
Kayra,1,w
Ke,1,m
Keira-Patricia,1,w
Keitatsu,1,m
Kelly,1,m
Kemal,1,m
Kenji,1,m
Kenneth,1,m
Keshav,1,m
Kexu,1,w
Keylem,1,m
Khac,1,m
Khadija,1,w
Khalil,1,m
Kiady,1,m
Kiana,1,w
Kidus,1,m
Kiljan,1,m
Killian,1,m
Kimiya,1,w
Kinza,1,w
Kiraz,1,w
Kiriakos,1,m
Kirill,1,m
Kito,1,m
Kiwan,1,m
Kiyan,1,m
Kjara,1,w
Klaas,1,m
Klaresa,1,w
Klea,1,w
Kobin,1,m
Kolja,1,m
Konstanze,1,w
Korab,1,m
Korel,1,m
Kosma,1,m
Kosmo,1,m
Kosta,1,m
Kotsche,1,m
Kriemhild,1,w
Kris,1,m
Krish,1,m
Krisna,1,m
Kristian,1,m
Kron,1,m
Ksenija,1,w
Kshitij,1,m
Kuba,1,m
Kübra,1,w
Kuddus,1,m
Kukka,1,w
Kurdistan,1,w
Kürsat,1,m
Kurumi,1,w
Kutay,1,m
Lachlan,1,m
Lada-Maria,1,w
Ladislav,1,m
Lady,1,w
Lahary,1,w
Lajla,1,w
Lale,1,w
Lamia,1,w
Lamis,1,w
Lana-Sophie,1,w
Lane,1,w
Lani,1,w
Lara,1,m
Lara-Elina,1,w
Lara-Marie,1,w
Lara-Selen,1,w
Larah,1,w
Larry,1,m
Laslo,1,m
Laszlo,1,m
Latifa,1,w
Laura-Elise,1,w
Lauren,1,w
Lauresa,1,w
Lautaro,1,m
Lavan,1,m
Lavien,1,w
Lavin,1,w
Lawand,1,m
Lawant,1,m
Lawy,1,m
Layan,1,w
Layth,1,m
Lazarus,1,m
Lea-Sophie,1,w
Lean,1,m
Leandra-Chiara,1,w
Learta,1,w
Lehel,1,m
Leia,1,w
Leif,1,m
Leila,1,w
Lejs,1,m
Lelia,1,w
Lema,1,w
Lemana,1,w
Lena-Marie,1,w
Lena-Sophie,1,w
Lenard,1,m
Lenart,1,m
Leni-Florence,1,w
Leni-Valentina,1,w
Lenka,1,w
Leon-Eli,1,m
Leon-Lucien,1,m
Leon-Romeo,1,m
Leonit,1,m
Leonora-Maria,1,w
Leonore,1,w
Leontina,1,w
Leorant,1,m
Leotrim,1,m
Leslie,1,m
Leul,1,m
Levy,1,m
Lewan,1,w
Lexy,1,w
Leya,1,w
Leyan,1,w
Lia-Marie,1,w
Lia-Sophie,1,w
Liara,1,w
Libby,1,w
Liberty,1,w
Lida,1,w
Lidiana,1,w
Lidra,1,w
Liesel,1,w
Lijan,1,m
Lilan,1,w
Lilani,1,w
Lilian-Margrethe,1,w
Liliane,1,w
Lilijana,1,w
Lilja,1,w
Lilli-Maria,1,w
Lillie,1,w
Lillith,1,w
Lilly-Kristin,1,w
Lily-Rose,1,w
Lina,1,m
Linde,1,w
Linden,1,m
Linea,1,w
Linus-Aurel,1,m
Linyue,1,w
Lio,1,m
Lionella,1,w
Lior,1,w
Lirian,1,m
Lisanne,1,w
Liselotte,1,w
Lison,1,w
Lissa,1,w
Lissi,1,w
Liyons,1,m
Liz,1,w
Lizzy,1,w
Ljubica,1,w
Llum,1,w
Lochlann,1,m
Loena,1,w
Loic,1,m
Lola-Sophie,1,w
Loni,1,w
Lony,1,w
Lora,1,w
Loran,1,m
Lorans,1,m
Lorant,1,m
Loras,1,m
Lore,1,w
Lorella,1,w
Loreta,1,w
Lorina,1,w
Lorisa,1,w
Lou,1,m
Lou,1,w
Lou-Ann,1,w
Louay,1,m
Louka,1,w
Lounis,1,m
Lousia,1,w
Loveleen,1,w
Lowen,1,m
Luca,1,w
Luca-Elias,1,m
Luca-Noel,1,m
Lucio,1,m
Lucjan,1,m
Ludi,1,m
Ludjain,1,w
Ludovica,1,w
Ludovico,1,m
Luena,1,w
Luigi-Gabriel,1,m
Luise-Pauline,1,w
Luitpold,1,m
Luiz-Miguel,1,m
Luiza,1,w
Lük,1,m
Luka,1,w
Lukas,1,w
Lukas-David,1,m
Lukas-Simon,1,m
Lukasz,1,m
Lulia,1,w
Lunik,1,m
Lusi,1,w
Lusy,1,w
Ly,1,w
Lydia,1,w
Lyne,1,w
Lynn,1,w
Lyonel,1,m
Lyonell-Mats,1,m
Lyubomir,1,m
Maayan,1,w
Mabelle,1,w
Mabrouk,1,m
Machiko,1,w
Macy,1,w
Madelaine,1,w
Madelong,1,m
Madelyn,1,w
Madena,1,w
Madhu,1,w
Madina,1,w
Maelian,1,m
Maeve,1,w
Maggie,1,w
Mahammed,1,m
Mahmod,1,m
Mahmoud,1,m
Mahya,1,w
Mai,1,w
Maihan,1,m
Maili,1,w
Maite,1,w
Majoie,1,m
Mak,1,m
Maka,1,w
Malaak,1,w
Malek,1,m
Malia,1,w
Maliah,1,w
Malie,1,w
Maliya,1,w
Maliyah-Charlize,1,w
Mana,1,w
Manar,1,w
Mane,1,m
Manfred,1,m
Manika,1,w
Manisa,1,w
Manolya,1,w
Manon,1,w
Manuela,1,w
Mara-Sophie,1,w
Maram,1,w
Marc-Oliver,1,m
Marcel-Leonid,1,m
Marcela,1,w
Marcell,1,m
Marcella-Nelly,1,w
Marco-Antonio,1,m
Marcos,1,m
Marcus,1,m
Mareike,1,w
Marek,1,m
Margaux,1,w
Margo,1,w
Mari,1,w
Maria-Francesca,1,w
Maria-Stefania,1,w
Maria-Terezia,1,w
Mariah,1,w
Mariame,1,w
Mariami,1,w
Marian,1,m
Mariana,1,w
Maribel,1,w
Maribelle,1,w
Marie-Christine,1,w
Marie-Lise,1,w
Marie-Louise,1,w
Marie-Luisa,1,w
Marie-Luise,1,w
Marie-Matilde,1,w
Marie-Melody,1,w
Marieke,1,w
Mariela,1,w
Marielou,1,w
Marieta,1,w
Marietheres,1,w
Marietou,1,w
Mariia,1,w
Marijan,1,m
Marijana,1,w
Marika,1,w
Marilen,1,w
Marilou,1,w
Marinus,1,m
Mariola,1,w
Marios-Aleksandros,1,m
Marita,1,w
Mariyam,1,w
Marleen,1,w
Marley,1,m
Marlo,1,m
Marten,1,m
Martino,1,m
Marwan,1,m
Marwat,1,m
Marwin,1,m
Marx,1,m
Mary,1,w
Marzia,1,w
Masa,1,w
Masaal,1,w
Massil,1,m
Massimiliano,1,m
Massimo,1,m
Matea,1,w
Matei,1,m
Matey,1,m
Mathäus,1,m
Mathea,1,w
Matheos,1,m
Mati,1,m
Matias,1,m
Matisse,1,m
Mato,1,m
Mattea,1,w
Matthea,1,w
Mattheo,1,m
Matthieu,1,m
Mattia-Manuel,1,m
Mattias,1,m
Mattyn,1,m
Matvey,1,m
Maud,1,w
Maurizius,1,m
Maurus,1,m
Mavie,1,w
Mawuna,1,w
Max-Emanuel,1,m
Max-Josef,1,m
Max-Lukas,1,m
Maximilia,1,w
Maximiliane,1,w
Maxine,1,w
May,1,w
Mayada,1,w
Mayleen,1,w
Maylo,1,m
Maysa,1,w
Mebuki,1,w
Mehmed,1,m
Mehmetcan,1,m
Mehrzad,1,m
Melike,1,w
Melin,1,w
Melina-Nevia,1,w
Melody,1,w
Melquiades,1,m
Melsona,1,w
Memet,1,m
Menkyi,1,w
Mentor,1,m
Meralcan,1,m
Meranges,1,w
Mercedes,1,w
Mercy,1,w
Merenna,1,m
Merida-Lynn,1,w
Merisa,1,w
Merit,1,w
Merita,1,w
Meryam,1,w
Mesrob,1,m
Met,1,m
Mete,1,m
Metehan,1,m
Mevludin,1,m
Meyla,1,w
Meylin,1,w
Meyra,1,w
Mia,1,m
Mia-Alessia,1,w
Mia-Giulia,1,w
Mia-Mabelle,1,w
Mian,1,m
Mica,1,w
Michael-Sebastian,1,m
Michaela,1,w
Michal,1,m
Micheal,1,m
Michel,1,m
Michele,1,m
Midhet,1,m
Mieszko,1,m
Mihael,1,m
Mihaela,1,w
Mikael,1,m
Mikko,1,m
Miko,1,m
Mikolaj,1,m
Milaluisa,1,w
Milan,1,w
Miley,1,w
Milia,1,w
Milica,1,w
Milijana,1,w
Milivoj,1,m
Milli,1,w
Milos,1,m
Miloslav,1,m
Milou,1,w
Milvin,1,m
Mimi,1,w
Minea,1,w
Mingjie,1,w
Mingus,1,m
Mingze,1,m
Minh,1,w
Minhkhang,1,m
Minori,1,m
Minu,1,w
Mio,1,m
Mira-Eylül,1,w
Mirabel,1,w
Miral,1,w
Miran-Efe,1,m
Mirella,1,w
Miren,1,w
Mirija,1,w
Mirja,1,w
Miron,1,m
Miruna,1,w
Mirza,1,m
Mitja,1,m
Miyabi,1,w
Miyu,1,w
Moataz,1,m
Mobin,1,m
Mohamad,1,m
Mohamad-Elias,1,m
Mohanna,1,w
Mominah,1,w
Morad,1,m
