vorname,anzahl,geschlecht
Mina,12,w
Ahmed,11,m
Elyas,11,m
Georg,11,m
Joel,11,m
Jona,11,m
Konrad,11,m
Leonhard,11,m
Nico,11,m
Patrick,11,m
Peter,11,m
Richard,11,m
Roman,11,m
Vitus,11,m
Elina,11,w
Emelie,11,w
Esma,11,w
Jasmin,11,w
Julie,11,w
Alessio,10,m
Christian,10,m
Emmanuel,10,m
Georgios,10,m
Jannis,10,m
Mark,10,m
Mohamed,10,m
Mohammad,10,m
Muhammad,10,m
Muhammed,10,m
Nikolas,10,m
Robert,10,m
Thomas,10,m
Toni,10,m
Viktor,10,m
Amina,10,w
Christina,10,w
Isabelle,10,w
Lilli,10,w
Lorena,10,w
Mariam,10,w
Merle,10,w
Ronja,10,w
Alex,9,m
Amar,9,m
Emilian,9,m
Fabio,9,m
Henrik,9,m
Laurin,9,m
Markus,9,m
Maxim,9,m
Mehmet,9,m
Mert,9,m
Nikolai,9,m
Pablo,9,m
Philip,9,m
Robin,9,m
Sami,9,m
+,9,w
Carolina,9,w
Flora,9,w
Liv,9,w
Maryam,9,w
Melissa,9,w
Nele,9,w
Nisa,9,w
Selma,9,w
Vanessa,9,w
Veronika,9,w
Yasmin,9,w
Alessandro,8,m
Baran,8,m
Clemens,8,m
Eren,8,m
Fritz,8,m
Ibrahim,8,m
Ismail,8,m
Kevin,8,m
Leonidas,8,m
Lion,8,m
Magnus,8,m
Marcel,8,m
Mattis,8,m
Ömer,8,m
Timo,8,m
Victor,8,m
Alice,8,w
Azra,8,w
Beren,8,w
Felicia,8,w
Florentine,8,w
Helen,8,w
Larissa,8,w
Leyla,8,w
Lili,8,w
Marta,8,w
Melisa,8,w
Meryem,8,w
Samira,8,w
Tamara,8,w
Teresa,8,w
Tilda,8,w
Yara,8,w
+,7,m
Aleksandar,7,m
Armin,7,m
Aron,7,m
Artur,7,m
Benno,7,m
Can,7,m
Emre,7,m
Fynn,7,m
Ilyas,7,m
Jasper,7,m
Josef,7,m
Joseph,7,m
Kian,7,m
Lasse,7,m
Leandro,7,m
Lennart,7,m
Mario,7,m
Mika,7,m
Mikail,7,m
Mohammed,7,m
Nathan,7,m
Nepomuk,7,m
Omar,7,m
Ruben,7,m
Tristan,7,m
Alea,7,w
Amira,7,w
Annabell,7,w
Anne,7,w
Anni,7,w
Ariana,7,w
Aylin,7,w
Charlotta,7,w
Cosima,7,w
Eleni,7,w
Fatima,7,w
Finja,7,w
Lana,7,w
Layla,7,w
Lola,7,w
Marina,7,w
Medina,7,w
Melanie,7,w
Philippa,7,w
Sofie,7,w
Thea,7,w
Alois,6,m
Bela,6,m
Bennet,6,m
Caspar,6,m
Christopher,6,m
Denis,6,m
Edgar,6,m
Enes,6,m
Eric,6,m
Friedrich,6,m
Gregor,6,m
Hamza,6,m
Jakub,6,m
Janosch,6,m
Johan,6,m
Lionel,6,m
Marius,6,m
Marlon,6,m
Milo,6,m
Mustafa,6,m
Nikita,6,m
Selim,6,m
Till,6,m
Valentino,6,m
Valerio,6,m
Yasin,6,m
Younes,6,m
Youssef,6,m
Alicia,6,w
Alissa,6,w
Aliyah,6,w
Amanda,6,w
Amy,6,w
Angelina,6,w
Annabelle,6,w
Annelie,6,w
Anouk,6,w
Cataleya,6,w
Defne,6,w
Eda,6,w
Emilija,6,w
Emmy,6,w
Estelle,6,w
Francesca,6,w
Gloria,6,w
Jana,6,w
Karolina,6,w
Liliana,6,w
Lily,6,w
Lucy,6,w
Mara,6,w
Marla,6,w
Marwa,6,w
Miray,6,w
Rebecca,6,w
Rita,6,w
Rosa,6,w
Sienna,6,w
Tabea,6,w
Alexandros,5,m
Amir,5,m
Anas,5,m
Andre,5,m
Andrej,5,m
Arda,5,m
Carlos,5,m
Cornelius,5,m
Damian,5,m
Daris,5,m
Devin,5,m
Diego,5,m
Eymen,5,m
Francesco,5,m
Frederick,5,m
George,5,m
Hans,5,m
Ilias,5,m
Ivan,5,m
Jovan,5,m
Kaan,5,m
Kuzey,5,m
Lazar,5,m
Lenny,5,m
Lio,5,m
Lorenzo,5,m
Malik,5,m
Malte,5,m
Mathias,5,m
Niko,5,m
Nikola,5,m
Quentin,5,m
Santiago,5,m
Severin,5,m
Thilo,5,m
Tiago,5,m
Ada,5,w
Adele,5,w
Adriana,5,w
Alessia,5,w
Anastasija,5,w
Anja,5,w
Annie,5,w
Asya,5,w
Ayla,5,w
Barbara,5,w
Carolin,5,w
Cecilia,5,w
Celina,5,w
Elli,5,w
Emely,5,w
Esila,5,w
Felina,5,w
Franka,5,w
Giulia,5,w
Grace,5,w
Henriette,5,w
Josefina,5,w
Jule,5,w
Julika,5,w
Kiara,5,w
Lamar,5,w
Leana,5,w
Leandra,5,w
Leila,5,w
Leona,5,w
Leonora,5,w
Letizia,5,w
Lieselotte,5,w
Lilia,5,w
Liya,5,w
Lotte,5,w
Lucie,5,w
Madeleine,5,w
Malin,5,w
Malou,5,w
Marlena,5,w
Maxima,5,w
Melek,5,w
Michelle,5,w
Mona,5,w
Nelly,5,w
Nia,5,w
Nicole,5,w
Penelope,5,w
Philomena,5,w
Sandra,5,w
Selin,5,w
Stefania,5,w
Tara,5,w
Vivien,5,w
Vivienne,5,w
Wilma,5,w
Zeynep,5,w
Abdullah,4,m
Adem,4,m
Alexis,4,m
Angelo,4,m
August,4,m
Berkay,4,m
Bilal,4,m
Carlo,4,m
Casper,4,m
Christos,4,m
Dejan,4,m
Dion,4,m
Eduard,4,m
Efe,4,m
Elia,4,m
Eliah,4,m
Elian,4,m
Emanuel,4,m
Erwin,4,m
Etienne,4,m
Fridolin,4,m
Hasan,4,m
Hüseyin,4,m
Imran,4,m
Jamie,4,m
Jaron,4,m
Jayden,4,m
Joris,4,m
Juan,4,m
Juri,4,m
Karim,4,m
Kaspar,4,m
Kerim,4,m
Konstantinos,4,m
Kristian,4,m
Lennox,4,m
Lias,4,m
Lino,4,m
Lorik,4,m
Luke,4,m
Mads,4,m
Marvin,4,m
Mirac,4,m
Neo,4,m
Niclas,4,m
Noel,4,m
Otto,4,m
Pepe,4,m
Phil,4,m
Phillip,4,m
Piet,4,m
Raffaele,4,m
Romeo,4,m
Said,4,m
Sam,4,m
Sidar,4,m
Sinan,4,m
Sirac,4,m
Subhan,4,m
Teodor,4,m
Tony,4,m
Veit,4,m
Vinzenz,4,m
William,4,m
Willy,4,m
Yaman,4,m
Yunus,4,m
Aaliyah,4,w
Aliya,4,w
Alva,4,w
Amrei,4,w
Annalena,4,w
Annemarie,4,w
Caroline,4,w
Claire,4,w
Dalia,4,w
Daniela,4,w
Daria,4,w
Eliana,4,w
Ellie,4,w
Filippa,4,w
Gioia,4,w
Heidi,4,w
Helin,4,w
Ina,4,w
Ines,4,w
Isabell,4,w
Jolina,4,w
Juli,4,w
Juliana,4,w
Juna,4,w
Kim,4,w
Klea,4,w
Laetitia,4,w
Lavinia,4,w
Leah,4,w
Lene,4,w
Lenia,4,w
Leticia,4,w
Lidia,4,w
Lilith,4,w
Linn,4,w
Lisa-Marie,4,w
Lou,4,w
Luciana,4,w
Maila,4,w
Malina,4,w
Mariella,4,w
Mayla,4,w
Nadine,4,w
Natalie,4,w
Nika,4,w
Rana,4,w
Salome,4,w
Smilla,4,w
Sonja,4,w
Svea,4,w
Teodora,4,w
Tuana,4,w
Valeria,4,w
Vasiliki,4,w
Viola,4,w
Yaren,4,w
Yasemin,4,w
Zainab,4,w
Zoey,4,w
Aarav,3,m
Albert,3,m
Amin,3,m
Antoine,3,m
Aras,3,m
Atilla,3,m
Ayaz,3,m
Ayman,3,m
Benyamin,3,m
Burak,3,m
Cem,3,m
Cihan,3,m
Colin,3,m
Damjan,3,m
Darian,3,m
Darin,3,m
Darius,3,m
Dennis,3,m
Diar,3,m
Dijar,3,m
Domenik,3,m
Dominic,3,m
Edi,3,m
Edin,3,m
Edward,3,m
Elham,3,m
Elijah,3,m
Elvin,3,m
Emin,3,m
Felipe,3,m
Feodor,3,m
Florentin,3,m
Flynn,3,m
Furkan,3,m
Georgi,3,m
Giovanni,3,m
Giuliano,3,m
Hendrik,3,m
Hussein,3,m
Ian,3,m
Ilan,3,m
Ilja,3,m
Isaac,3,m
Ishak,3,m
Ivano,3,m
James,3,m
Janis,3,m
Jesse,3,m
John,3,m
Joscha,3,m
Jules,3,m
Kacper,3,m
Kai,3,m
Kayra,3,m
Kiyan,3,m
Koray,3,m
Kurt,3,m
Lars,3,m
Leart,3,m
Levente,3,m
Lian,3,m
Mahir,3,m
Maksim,3,m
Marin,3,m
Matheo,3,m
Matija,3,m
Matthis,3,m
Melih,3,m
Michele,3,m
Miguel,3,m
Milad,3,m
Minh,3,m
Miran,3,m
Musa,3,m
Nicholas,3,m
Nicklas,3,m
Nikias,3,m
Nikolaus,3,m
Nuri,3,m
Ole,3,m
Oumar,3,m
Paolo,3,m
Pascal,3,m
Petar,3,m
Pius,3,m
Poyraz,3,m
Rayan,3,m
Ryan,3,m
Samir,3,m
Sandro,3,m
Santino,3,m
Semih,3,m
Seyit,3,m
Shahin,3,m
Stefan,3,m
Theodore,3,m
Timon,3,m
Timur,3,m
Titus,3,m
Tomas,3,m
Umut,3,m
Vincenzo,3,m
Vito,3,m
Xavier,3,m
Yann,3,m
Yassin,3,m
Yosef,3,m
Abigail,3,w
Aisha,3,w
Alena,3,w
Alessandra,3,w
Alexa,3,w
Alexia,3,w
Aleyna,3,w
Allegra,3,w
Almina,3,w
Amine,3,w
Andrea,3,w
Anesa,3,w
Angela,3,w
Anika,3,w
Anila,3,w
Anna-Lena,3,w
Anna-Maria,3,w
Anna-Sophie,3,w
Audrey,3,w
Aurela,3,w
Ayda,3,w
Bahar,3,w
Beatrice,3,w
Bella,3,w
Bianca,3,w
Carina,3,w
Celine,3,w
Cemre,3,w
Ceylin,3,w
Cleo,3,w
Coco,3,w
Dana,3,w
Darina,3,w
Derya,3,w
Diana,3,w
Dilara,3,w
Dina,3,w
Dunya,3,w
Elea,3,w
Eleonora,3,w
Eleonore,3,w
Elin,3,w
Ellen,3,w
Elly,3,w
Emmi,3,w
Erika,3,w
Erva,3,w
Fatma,3,w
Felipa,3,w
Fenja,3,w
Finnja,3,w
Hira,3,w
Ilayda,3,w
Ilvie,3,w
Iman,3,w
Ioanna,3,w
Iris,3,w
Ivana,3,w
Izabela,3,w
Jenny,3,w
Jessica,3,w
Joana,3,w
Jonna,3,w
Josefa,3,w
Josephina,3,w
Judith,3,w
Juliane,3,w
Kaja,3,w
Karlotta,3,w
Kristina,3,w
Laila,3,w
Lamija,3,w
Leia,3,w
Leonore,3,w
Liah,3,w
Lilian,3,w
Linnea,3,w
Liselotte,3,w
Luana,3,w
Lumi,3,w
Luzia,3,w
Malak,3,w
Manuela,3,w
Margareta,3,w
Margaretha,3,w
Marie-Luise,3,w
Marilena,3,w
Marlies,3,w
Mathilde,3,w
Matilde,3,w
Maximiliane,3,w
Mayra,3,w
Merjem,3,w
Meyra,3,w
Mia-Sophie,3,w
Milana,3,w
Mirjam,3,w
Nadia,3,w
Natalia,3,w
Nela,3,w
Neyla,3,w
Nikola,3,w
Nikoleta,3,w
Nikolina,3,w
Norah,3,w
Ophelia,3,w
Rafaela,3,w
Ramona,3,w
Rania,3,w
Rebekka,3,w
Samara,3,w
Shirin,3,w
Sila,3,w
Silvia,3,w
Sonia,3,w
Susanna,3,w
Theodora,3,w
Tijana,3,w
Una,3,w
Viktorija,3,w
Wiktoria,3,w
Yade,3,w
Yusra,3,w
Zahra,3,w
Zehra,3,w
Zofia,3,w
Zümra,3,w
Aadhavan,2,m
Aarush,2,m
Abel,2,m
Achilleas,2,m
Adian,2,m
Adin,2,m
Aditya,2,m
Ahmad,2,m
Ahmet,2,m
Aidel,2,m
Aiden,2,m
Aiman,2,m
Ajan,2,m
Akin,2,m
Aland,2,m
Albion,2,m
Aleksander,2,m
Alend,2,m
Alexandru,2,m
Alexej,2,m
Allen,2,m
Alperen,2,m
Alwin,2,m
Amine,2,m
Andi,2,m
Andrea,2,m
Andrija,2,m
Anestis,2,m
Angel,2,m
Anian,2,m
Ante,2,m
Anthony,2,m
Antoni,2,m
Antonios,2,m
Apostolos,2,m
Aren,2,m
Arion,2,m
Aris,2,m
Arman,2,m
Art,2,m
Arvid,2,m
Arwin,2,m
Aryan,2,m
Augustin,2,m
Aurel,2,m
Axel,2,m
Ayham,2,m
Aymen,2,m
Balthasar,2,m
Baris,2,m
Batu,2,m
Bence,2,m
Beniamin,2,m
Berat,2,m
Boris,2,m
Brandon,2,m
Brian,2,m
Carol,2,m
Cassian,2,m
Charles,2,m
Cinar,2,m
Claudio,2,m
Cosimo,2,m
Damien,2,m
Danilo,2,m
Daryan,2,m
Dawid,2,m
Dean,2,m
Dimitrios,2,m
Dmitrij,2,m
Dragan,2,m
Duglas,2,m
Edison,2,m
Eduart,2,m
Edwin,2,m
Ege,2,m
Egor,2,m
Eleftherios,2,m
Eli,2,m
Elion,2,m
Eliyas,2,m
Elliot,2,m
Emiliano,2,m
Emilijan,2,m
Endrit,2,m
Ennio,2,m
Ensar,2,m
Erion,2,m
Evan,2,m
Federico,2,m
Filippo,2,m
Finley,2,m
Frederic,2,m
Giacomo,2,m
Giuseppe,2,m
Goran,2,m
Hamit,2,m
Haru,2,m
Hermann,2,m
Hiroki,2,m
Igor,2,m
Ilija,2,m
Ilkay,2,m
Imad,2,m
Ioannis,2,m
Iwo,2,m
Jago,2,m
Jakov,2,m
Jamal,2,m
Jannes,2,m
Jared,2,m
Jason,2,m
Jayson,2,m
Jeremy,2,m
Joah,2,m
Jon,2,m
Jonatan,2,m
Justin,2,m
Kasimir,2,m
Kemal,2,m
Kenan,2,m
Kornel,2,m
Laszlo,2,m
Lean,2,m
Leevi,2,m
Lena,2,m
Lennert,2,m
Lenni,2,m
Leonas,2,m
Leonel,2,m
Lesley,2,m
Lorent,2,m
Lou,2,m
Loui,2,m
Louie,2,m
Luc,2,m
Lui,2,m
Luitpold,2,m
Luk,2,m
Luuk,2,m
Majd,2,m
Marek,2,m
Marino,2,m
Marley,2,m
Marwan,2,m
Massimiliano,2,m
Massimo,2,m
Mathis,2,m
Matin,2,m
Matthew,2,m
Matti,2,m
Mattia,2,m
Maurice,2,m
Maxime,2,m
Maximilan,2,m
Maxym,2,m
Michail,2,m
Mihailo,2,m
Mihajlo,2,m
Mikael,2,m
Mohamad,2,m
Murat,2,m
Neil,2,m
Nelson,2,m
Neven,2,m
Nevio,2,m
Nikolaos,2,m
Nino,2,m
Noam,2,m
Noar,2,m
Olti,2,m
Omer,2,m
Orfeas,2,m
Owen,2,m
Philippe,2,m
Prince,2,m
Quang,2,m
Radin,2,m
Raffael,2,m
Raian,2,m
Raihan,2,m
Rami,2,m
Rayen,2,m
Ricardo,2,m
Riccardo,2,m
Riduan,2,m
Rijad,2,m
Rio,2,m
Safwan,2,m
Salim,2,m
Samu,2,m
Samuele,2,m
Sean,2,m
Seyyid,2,m
Simeon,2,m
Sofian,2,m
Stanislav,2,m
Sudais,2,m
Sven,2,m
Tammo,2,m
Taylan,2,m
Thiago,2,m
Thorben,2,m
Tigran,2,m
Timothy,2,m
Tobia,2,m
Toby,2,m
Tomoki,2,m
Tunahan,2,m
Tyron,2,m
Vladimir,2,m
Volkan,2,m
Wilhelm,2,m
Willi,2,m
Yakup,2,m
Yanis,2,m
Yannik,2,m
Yannis,2,m
Yifan,2,m
Yigit,2,m
Ylli,2,m
Yunis,2,m
Zacharias,2,m
Zakaria,2,m
Zakariya,2,m
Zedan,2,m
Ziad,2,m
Ziyad,2,m
Adea,2,w
Adina,2,w
Agatha,2,w
Agnes,2,w
Agnesa,2,w
Aicha,2,w
Ajla,2,w
Alara,2,w
Alba,2,w
Aleena,2,w
Alejna,2,w
Alicja,2,w
Amel,2,w
Amilia,2,w
Amirah,2,w
Amna,2,w
Anabel,2,w
Anabella,2,w
Anna-Marie,2,w
Annabel,2,w
Annabella,2,w
Annmarie,2,w
Antonie,2,w
Anya,2,w
Asiya,2,w
Asma,2,w
Athina,2,w
Aya,2,w
Belinay,2,w
Berra,2,w
Betül,2,w
Camila,2,w
Camilla,2,w
Carmen,2,w
Caterina,2,w
Cecily,2,w
Celia,2,w
Cennet,2,w
Ceren,2,w
Ceyda,2,w
Charlene,2,w
Chloe,2,w
Clarissa,2,w
Cornelia,2,w
Danae,2,w
Darin,2,w
Delia,2,w
Denise,2,w
Derin,2,w
Destiny,2,w
Dila,2,w
Ece,2,w
Ecrin,2,w
Eirini,2,w
Eleanor,2,w
Eliza,2,w
Eloise,2,w
Ema,2,w
Emanuela,2,w
Emi,2,w
Emina,2,w
Ena,2,w
Enie,2,w
Enya,2,w
Era,2,w
Erina,2,w
Eslem,2,w
Evelyn,2,w
Ewa,2,w
Eysan,2,w
Fabienne,2,w
Fanny,2,w
Farida,2,w
Felia,2,w
Felizitas,2,w
Feodora,2,w
Ferdos,2,w
Feyza,2,w
Filipa,2,w
Filomena,2,w
Fine,2,w
Florence,2,w
Freyja,2,w
Friederike,2,w
Gabriela,2,w
Georgia,2,w
Ginevra,2,w
Ha,2,w
Hailey,2,w
Hala,2,w
Hanar,2,w
Hanifa,2,w
Hevin,2,w
Hillary,2,w
Ileyna,2,w
Ilma,2,w
Isabela,2,w
Ivy,2,w
Jamina,2,w
Janina,2,w
Jasmine,2,w
Jella,2,w
Johanna-Sophie,2,w
Jolanda,2,w
Jolie,2,w
Jovana,2,w
Juliette,2,w
Juno,2,w
Kaia,2,w
Karina,2,w
Karoline,2,w
Katarina,2,w
Kate,2,w
Katelyn,2,w
Katherina,2,w
Katherine,2,w
Katrin,2,w
Kayra,2,w
Kenza,2,w
Khanh,2,w
Kiana,2,w
Kyra,2,w
Lauren,2,w
Laurena,2,w
Lea-Sophie,2,w
Lejla,2,w
Lelia,2,w
Lema,2,w
Lenka,2,w
Leonor,2,w
Liliane,2,w
Lilou,2,w
Linh,2,w
Liridona,2,w
Lisann,2,w
Lisbeth,2,w
Liyana,2,w
Loresa,2,w
Ludovica,2,w
Luiza,2,w
Madita,2,w
Madlaina,2,w
Magdalene,2,w
Maia,2,w
Malena,2,w
Malia,2,w
Margarete,2,w
Mariana,2,w
Mariela,2,w
Marija,2,w
Marijana,2,w
Marit,2,w
Marlen,2,w
Martina,2,w
Matea,2,w
Maximilia,2,w
Medine,2,w
Melin,2,w
Melinda,2,w
Melis,2,w
Meryam,2,w
Mika,2,w
Mirella,2,w
Mitra,2,w
Nadja,2,w
Naima,2,w
Nala,2,w
Nalin,2,w
Naomi,2,w
Nayla,2,w
Nazanin,2,w
Nike,2,w
Nila,2,w
Nisanur,2,w
Noa,2,w
Nour,2,w
Noura,2,w
Oda,2,w
Panka,2,w
Pelin,2,w
Philina,2,w
Philine,2,w
Pina,2,w
Polly,2,w
Priya,2,w
Rahel,2,w
Ranya,2,w
Rena,2,w
Rhea,2,w
Riham,2,w
Romi,2,w
Roxana,2,w
Roya,2,w
Rozalia,2,w
Ruby,2,w
Rüya,2,w
Sahar,2,w
Sakura,2,w
Salka,2,w
Samanta,2,w
Samantha,2,w
Sana,2,w
Sandi,2,w
Saphira,2,w
Sarina,2,w
Saskia,2,w
Selena,2,w
Senta,2,w
Serafina,2,w
Serena,2,w
Shanaya,2,w
Shania,2,w
Sia,2,w
Siham,2,w
Sina,2,w
Sofija,2,w
Soraya,2,w
Stefani,2,w
Suna,2,w
Susanne,2,w
Taia,2,w
Tala,2,w
Tamina,2,w
Tanja,2,w
Tea,2,w
Tessa,2,w
Veronica,2,w
Vida,2,w
Vivian,2,w
Yagmur,2,w
Ylvie,2,w
Yuna,2,w
Zaina,2,w
Zana,2,w
Zara,2,w
Aakash,1,m
Abdallah,1,m
Abdarrahman,1,m
Abdel,1,m
Abdoulaye,1,m
Abdulbaari,1,m
Abdülhamid,1,m
Abdullahi,1,m
Abdulsamed,1,m
Abdulwahab,1,m
Abdurrahman,1,m
Abraham,1,m
Ada,1,m
Adedjouma,1,m
Adharv,1,m
Adis,1,m
Adnan,1,m
Adni,1,m
Adrijon,1,m
Adyan,1,m
Aedan,1,m
Aemilius,1,m
Agastya,1,m
Aghilas,1,m
Aglago,1,m
Ahmed-Aziz,1,m
Ahmedin,1,m
Aike,1,m
Ajdin,1,m
Akan,1,m
Akash,1,m
Akay,1,m
Ako,1,m
Akos,1,m
Akram,1,m
Aladji,1,m
Alaedin,1,m
Alan,1,m
Alberto,1,m
Aldowin,1,m
Alejandro,1,m
Aleks,1,m
Aleksandr,1,m
Aleksis,1,m
Alem,1,m
Alen,1,m
Alexandar,1,m
Alexandr,1,m
Alexandros-Voitto,1,m
Alexisz,1,m
Alexius,1,m
Alfredo,1,m
Ali-Bera,1,m
Ali-Reza,1,m
Aliasghar,1,m
Alind,1,m
Almin,1,m
Almir,1,m
Alon,1,m
Alper,1,m
Altin,1,m
Alvin,1,m
Amadeo,1,m
Amael,1,m
Amanuel,1,m
Ameer,1,m
Amelio,1,m
Amer,1,m
Amey,1,m
Amier,1,m
Ammar,1,m
Amon,1,m
Amos,1,m
Amsal,1,m
Anass,1,m
Anastasios,1,m
Anatole,1,m
Andjelko,1,m
Andrey,1,m
Andrij,1,m
Andrik,1,m
Andrzej,1,m
Andy,1,m
Anel,1,m
Anes,1,m
Angelos,1,m
Anik,1,m
Anish,1,m
Ankith,1,m
Anmol,1,m
Anna,1,m
Anoosh,1,m
Antares,1,m
Anthony-Mikel,1,m
Antonius,1,m
Anuar,1,m
Anukam,1,m
Aram,1,m
Arata,1,m
Arav,1,m
Arbi,1,m
Arbnor,1,m
Archil,1,m
Arda-Ahmet,1,m
Ardonis,1,m
Are,1,m
Areg,1,m
Ares,1,m
Argen,1,m
Ari,1,m
Ariano,1,m
Arieh,1,m
Arif,1,m
Arijon,1,m
Aristidis,1,m
Arjen,1,m
Arlind,1,m
Armaan,1,m
Armando,1,m
Armani,1,m
Armayel,1,m
Arne,1,m
Arnes,1,m
Arsam,1,m
Artemy,1,m
Arti,1,m
Artines,1,m
Artiom,1,m
Arvin,1,m
Asa,1,m
Asan,1,m
Asen,1,m
Asma,1,m
Assil,1,m
Atanas,1,m
Athanasios,1,m
Atila,1,m
Atsuto,1,m
Attila,1,m
Attilas,1,m
Auras,1,m
Aurele,1,m
Aurelian,1,m
Aurelio,1,m
Aurelius,1,m
Auron,1,m
Avery,1,m
Aviel,1,m
Awin,1,m
Aws,1,m
Ayaan,1,m
Ayan,1,m
Ayas,1,m
Ayden,1,m
Aydin,1,m
Ayhn,1,m
Aykhan,1,m
Aytac,1,m
Ayub,1,m
Azad,1,m
Azan,1,m
Azem,1,m
Bach,1,m
Badawi,1,m
Bajram,1,m
Bajrush,1,m
Basile,1,m
Bassem,1,m
Batin-Bugra,1,m
Batis,1,m
Batuhan,1,m
Bavin,1,m
Bawer,1,m
Bazian,1,m
Bedirhan,1,m
Behzad,1,m
Behzat,1,m
Ben-Alexander,1,m
Ben-Joseph,1,m
Bendix,1,m
Benedek,1,m
Benedict,1,m
Benett,1,m
Bennett,1,m
Benyasin,1,m
Berd,1,m
Berk,1,m
Berkcan,1,m
Bernd,1,m
Berno,1,m
Bertan,1,m
Berthold,1,m
Bertrand,1,m
Beytullah,1,m
Bilaal,1,m
Bilel,1,m
Binyam,1,m
Bislim,1,m
Bjarne,1,m
Björn,1,m
Blaise,1,m
Blear,1,m
Blerand,1,m
Blert,1,m
Bllend,1,m
Bogdan,1,m
Borys,1,m
Bowie,1,m
Breylin,1,m
Brindar,1,m
Bugra,1,m
Bui,1,m
Burhan,1,m
Buynaa,1,m
Caesarius,1,m
Cajetan,1,m
Cameron,1,m
Camil,1,m
Camillo,1,m
Camilo,1,m
Can-Kemal,1,m
Caner,1,m
Carmelo,1,m
Caspar-Nepomuk,1,m
Cedric,1,m
Celal,1,m
Celian,1,m
Cengiz,1,m
Cenk,1,m
